Segment,Segment Name,Time Period,date_end,Date End,FY,Date Month,Avg Paid Invoice Amt,Avg SR Amt,Avg. Intuit Paid Inv Amt,Avg. Intut Paid SR Amt,Eco Invoice Actives 31D,Intuit Paid Inv per Active,Intuit Paid SR per Active,cc_actives_31d,active_cohorted_churn,passive_cohorted_churn,hvc_cohorted_churn,non_hvc_cohorted_churn,active_cohorted_churn_py,passive_cohorted_churn_py,hvc_cohorted_churn_py,non_hvc_cohorted_churn_py,qbo_active_cohorted_churn,qbo_active_cohorted_churn_py,pymt_active_cohorted_churn,pymt_active_cohorted_churn_py,Eco TPV 31d Absolute,CC TPV 31d Absolute,ACH TPV 31d Absolute,Eco Actives 31d Absolute,Eco Txns 31d Absolute,CC Txns 31d Absolute,ACH Txns 31d Absolute,Eco Invoice Amount 31d Absolute,Eco Sales Receipt Amount 31d Absolute,Eco Recurring Invoice Amount 31d Absolute,Eco CP Recurring Invoice Amount 31d Absolute,Eco Non-Recurring Invoice Amount 31d Absolute,Eco CP Amount 31d Absolute,Eco Non-CP Amount 31d Absolute,Eco Invoice Txns 31d Absolute,Eco Sales Receipt Txns 31d Absolute,Eco Recurring Invoice Txns 31d Absolute,Eco CP Recurring Invoice Txns 31d Absolute,Eco Non-Recurring Invoice Txns 31d Absolute,Eco CP Txns 31d Absolute,Eco Non-CP Txns 31d Absolute,31d Active Repeat Absolute,31d Active Lapse Absolute,31d Active Resurrect Absolute,31d Active GNA Absolute,31d Repeat CV Absolute,31d Lapse CV Absolute,31d Resurrect CV Absolute,31d GNA CV Absolute,31d Repeat Txn Absolute,31d Lapse Txn Absolute,31d Resurrect Txn Absolute,31d GNA Txn Absolute
Established (24+ months),New Acquisition Cohort,Week,2024-08-24,2024-08-24,FY25,8,1703.897022,298.508855,1226.167101,380.4525903,406806,18.08902785,4.238081787,265449,1,1,1,1,1,1,1,1,1,1,1,1,9500355172,3921551457,3876329791,284300,8483832,4144807,1404225,5383662621,669934686.7,403461655.5,340377936.5,7943462025,6692811616,1848318479,4792010,1190614,763288,435556,5781188,4351213,2746939,223410,0,33891,0,6100078443,11,210644371,0,5969551,10,74757,0
Other Mixed,Managed Pay Subscribers,Week,2024-08-24,2024-08-24,FY25,8,1803.840962,350.260087,1265.443318,403.9026949,693091,14.42499329,3.224489447,454030,1,1,1,1,1,1,1,1,1,1,1,1,13682373707,5854921840,5270539733,478929,12014512,5898305,1775525,7841017099,891277130.6,514247526.6,437363150.7,11466037488,9493212024,2531248668,6763319,1619196,942273,574979,8324360,6121598,3552825,379108,0,67573,17840,8507277567,86,395266023,146698257,8194510,68,140610,67550
Growing (12-24 months),New Acquisition Cohort,Week,2024-08-31,2024-08-31,FY25,8,1729.229476,381.037046,1336.871737,431.2377003,123155,12.29358315,2.015506018,79740,1,1,1,1,1,1,1,1,1,1,1,1,2172887542,921616898.6,838555596.2,84697,1756394,894013,242564,1240608291,104960452.7,63765459.44,58524338.41,1856328910,1526777670,299846040.9,1068043,181752,118291,74462,1274983,1001027,450591,67808,0,14472,0,1392653463,10,83831234,0,1157706,7,29564,0
Unclassified,New Acquisition Cohort,Week,2024-08-31,2024-08-31,FY25,8,2341.801123,459.379274,1937.32443,479.5648323,2396,10.63180429,3.527109457,1592,1,1,1,1,1,1,1,1,1,1,null,null,55981239.3,28447119.32,18130086.01,1627,38569,22278,3561,30203901.72,3801159.48,614644.93,484227.85,46367518,36808868.81,9245597.64,17022,6193,1248,587,21305,17220,9566,1134,0,0,0,34184989,0,0,0,25547,0,0,0
New (0-12 months),New Acquisition Cohort,Week,2024-08-31,2024-08-31,FY25,8,1612.785195,355.538507,1174.291147,407.6018151,172088,8.999137665,1.567280477,112289,1,1,1,1,1,1,1,1,1,1,1,1,1889880686,1026736936,617945761.8,120049,1722046,938610,203036,1100932962,111849277,47681958.03,44876978.53,1742881629,1421797607,301412728.7,1052438,188387,94448,61059,1324265,989827,427242,75317,0,17975,17984,1127622742,52,89935023,140993099,1105266,41,34943,64901
Established (24+ months),New Acquisition Cohort,Week,2024-08-31,2024-08-31,FY25,8,1646.848016,296.698539,1197.078154,390.769892,414660,17.66624241,4.267143231,267965,1,1,1,1,1,1,1,1,1,1,1,1,9311661552,3994999777,3941649994,276589,8691527,4149750,1412074,5505635185,659448978.9,388129749.8,342861837.7,8092668212,6757831629,1916684375,4987216,1250883,759401,455634,5989035,4432148,2659632,226362,0,35344,0,6404180460,20,215415335,0,5720619,21,76836,0
100% Invoice TPV,Billing & Receipt Channel Mix,Week,2024-08-31,2024-08-31,FY25,8,1793.721416,297.603758,1327.59719,null,668979,13.25582047,0,419501,1,1,1,1,1,1,1,1,1,1,1,1,11157517110,4863066546,4679924520,440977,8326929,3832864,1362546,6749449218,0,406253507,359510638.1,10741404987,8921761893,1345025082,5689171,0,650408,404139,6997156,5174528,1403155,328919,0,65434,16037,7292058760,0,365681364,124504391,5465690,0,126161,49596
70% to <100% Invoice TPV,Billing & Receipt Channel Mix,Week,2024-08-31,2024-08-31,FY25,8,967.772811,282.148416,743.2043632,286.0412932,29631,50.85823682,9.430150602,18219,1,1,1,1,1,1,1,1,1,1,1,1,1165181987,653224176,376099038.4,19533,1706127,934814,208111,678859340.7,72738923.2,81081392.19,63705615.81,972243650.2,669412314.2,412044847.1,1024375,190629,229644,130424,1151080,764657,696532,16909,0,415,618,805436379,0,4099995,8206441,1159895,0,3614,6674
Other Mixed,Billing & Receipt Channel Mix,Week,2024-08-31,2024-08-31,FY25,8,1126.451881,384.822009,589.9657509,350.0691011,22935,15.33125903,59.44676483,15335,1,1,1,1,1,1,1,1,1,1,1,1,656837091.2,386954681.7,190102743,16283,1626445,874848,189851,125813269.1,465615028.3,22976765.88,19726628.29,167428213.1,162515652.8,510931935,239087,1001500,69058,44894,245375,200381,1122810,13828,0,505,333,445247423,82,3718075,4411234,1073419,68,5710,6474
100% SR TPV,Billing & Receipt Channel Mix,Week,2024-08-31,2024-08-31,FY25,8,10477.88979,369.122173,null,563.1978068,0,null,23.29777805,16867,1,1,1,1,1,1,1,1,1,1,1,1,324655545.5,192043194.6,96584129.24,18330,548495,308135,57479,0,348197318.1,0,0,0,99899851.5,230297055.4,0,433528,0,0,0,52282,420278,13962,0,2370,881,212162305,0,9744177,4507164,380256,0,8686,3312
70% to <100% Web TPV,Digital Platform Distribution,Week,2024-08-31,2024-08-31,FY25,8,1072.607589,290.984028,809.2616732,284.3287425,56635,38.96536505,4.595804899,35563,1,1,1,1,1,1,1,1,1,1,1,1,1820306697,957590496.4,625144627.5,36601,2373780,1225146,298916,1068749133,68099687.57,97309050.65,78040102.82,1637030084,1164659776,479349139.6,1481978,174062,295058,173056,1718596,1165281,743233,31552,0,1171,742,1243998527,0,12249603,10046080,1666513,0,6923,7995
Unclassified,Digital Platform Distribution,Week,2024-08-31,2024-08-31,FY25,8,1116.161345,367.269079,586.7568775,423.7749369,22610,15.56083668,40.53913012,33437,1,1,1,1,1,1,1,1,1,1,1,1,981872287.1,600913663.6,278469326.4,35380,2166209,1158747,242702,130256228.8,805053828.8,22860171.11,20639444.64,176167799.9,278026640.1,730782778.9,243729,1371696,71446,46233,262854,259180,1591324,27916,0,2983,1189,670211731,81,13556604,8888818,1516055,71,14327,9691
100% Mobile TPV,Digital Platform Distribution,Week,2024-08-31,2024-08-31,FY25,8,1135.351728,381.198265,857.3973522,null,60200,7.597141358,0,36221,1,1,1,1,1,1,1,1,1,1,1,1,385839386.7,229281693,106372034.7,39085,437316,234173,44136,229193101.9,0,311,352,373402907,300860641.5,26303179.54,306851,0,1,1,421622,311331,34434,27828,0,8033,1805,229080223,0,27301192,7178624,288602,0,12780,3888
100% Web TPV,Digital Platform Distribution,Week,2024-08-31,2024-08-31,FY25,8,1947.036377,295.361547,1476.691063,7718.343425,555940,12.71652597,0.0000185416,332746,1,1,1,1,1,1,1,1,1,1,1,1,9920887359,4043933278,4384444272,369742,6368201,3087095,1195753,5924178259,75063.67,374482321.7,335989614,9298693719,7625350390,1215720084,4620795,7,588872,351571,5523405,4138441,1150493,263323,0,55313,14037,6437871102,0,330080412,114155159,4453440,0,103011,41139
70% to <100% Mobile TPV,Digital Platform Distribution,Week,2024-08-31,2024-08-31,FY25,8,1133.10841,299.272797,829.2786211,227.7844225,11972,18.46774584,0.4432491187,7576,1,1,1,1,1,1,1,1,1,1,1,1,182249382.7,105723151.7,52476741.1,8068,214098,124197,20941,109641766.7,1202211.53,587033.55,536527.81,165982820.3,135625284.5,20545276.92,148005,3878,2939,2154,199160,146422,32595,6715,0,458,189,118398292,0,3425378,1233943,150038,0,1532,1072
Cross-Platform Blended,Digital Platform Distribution,Week,2024-08-31,2024-08-31,FY25,8,1246.877804,310.002002,872.2960254,231.8059075,18435,16.78602992,0.2536499792,11407,1,1,1,1,1,1,1,1,1,1,1,1,280122800.4,155271271.5,80356621,12131,298661,171863,34026,161471263.1,1147284.98,3406309.12,3378303.71,251703284.6,211521213.4,28397540.59,216642,3422,15846,10967,268177,199083,43074,10236,0,915,251,181423630,0,5880379,1877118,204033,0,2828,1419
All Segments,Aggregate,Week,2024-09-07,2024-09-07,FY25,9,1471.123806,341.904897,1274.903163,395.6119809,711305,14.87191048,3.249756931,464949,1,1,1,1,1,1,1,1,1,1,1,1,13773446316,5856323441,5240744180,497087,11835795,5769393,1814233,7685683577,894148187.1,523812571.9,450464011.4,11709255595,9702464370,2461431493,6791128,1536081,982377,602011,8570173,6056414,3630961,374819,0,65712,17313,8450568477,122,361940559,137207636,7968240,80,135465,64229
70% to <100% Web TPV,Digital Platform Distribution,Week,2024-09-07,2024-09-07,FY25,9,933.7448559,262.082112,826.237163,281.0185112,52900,38.93249544,4.688415749,34183,1,1,1,1,1,1,1,1,1,1,1,1,1766498857,931997105.7,599923210.9,35240,2216515,1174601,290145,1062556350,67908567.65,96769293.52,77019403.32,1499098399,1133531210,456462352.3,1402448,168941,280725,174840,1702547,1121791,721232,30443,0,1025,736,1210796153,0,9165720,9816298,1575913,0,5049,8167
Unclassified,Digital Platform Distribution,Week,2024-09-07,2024-09-07,FY25,9,929.5303754,336.876627,576.230905,417.6272908,23931,15.84379648,39.79504328,33483,1,1,1,1,1,1,1,1,1,1,1,1,1021005506,577295332.9,280875884.7,34869,2108119,1140734,252263,129900050.6,818556628.3,24681306.06,21545753.52,170135982.1,273120231,742554758,237412,1390364,70239,47880,249158,259833,1549702,28016,0,2756,1117,668043702,121,13533846,8755953,1458942,81,14023,9239
100% Mobile TPV,Digital Platform Distribution,Week,2024-09-07,2024-09-07,FY25,9,1076.949247,443.529955,828.5452328,null,59525,7.492313194,0,38578,1,1,1,1,1,1,1,1,1,1,1,1,386701768.1,227829936.9,105416629,40614,426395,249628,43178,230613788.9,0,307,340,365885865.3,313498850.6,26652052.02,311377,0,1,1,406734,315859,34691,28299,0,8064,1844,232183602,0,26437560,7339419,287418,0,13316,4002
100% Web TPV,Digital Platform Distribution,Week,2024-09-07,2024-09-07,FY25,9,1712.585011,356.536463,1471.325075,7721.398827,548487,12.82719621,0.0000166457,334728,1,1,1,1,1,1,1,1,1,1,1,1,9659278901,3858563020,4131175859,367463,6533978,2919168,1194463,5982103118,59657.12,396582664.6,334206423.6,9085334971,7292218258,1179234142,4565772,5,585718,358971,5456911,4248487,1200072,267003,0,50983,13492,6158754205,0,303133685,111148208,4388995,0,99927,40524
70% to <100% Mobile TPV,Digital Platform Distribution,Week,2024-09-07,2024-09-07,FY25,9,994.9179174,272.754449,789.352009,233.7808549,12033,18.8363178,0.441225992,7591,1,1,1,1,1,1,1,1,1,1,1,1,182683988.2,106135916.4,51481094.07,8278,218357,126978,20974,105474722.1,1197992.26,643975.95,589229.54,168664137.9,138091807.8,21310002.08,146095,3403,3009,2100,204611,146368,32077,6912,0,458,206,117060101,0,3876239,1373618,152947,0,1746,1135
Cross-Platform Blended,Digital Platform Distribution,Week,2024-09-07,2024-09-07,FY25,9,1046.72359,234.814436,864.6646306,239.5086388,18682,16.9725365,0.2740579911,11714,1,1,1,1,1,1,1,1,1,1,1,1,266495287,155795752.5,80674441.7,12843,302342,160953,33067,165256788.6,1102954.89,3740638.86,3369803.7,253726711.1,202930100.2,28230594.43,207019,3490,16909,11506,266262,208836,43199,10125,0,843,243,175794642,0,5633868,1737813,206334,0,2717,1168
Other Mixed,Managed Pay & Batch Processing,Week,2024-09-14,2024-09-14,FY25,9,1687.208724,384.425772,1212.863834,401.4245708,722650,14.28535743,3.148265851,456044,1,1,1,1,1,1,1,1,1,1,1,1,13548455344,5973086656,5270081415,488307,11624616,6032445,1781001,7475440266,854639157.7,508246245.6,457637196.8,11366460462,9276884381,2457305749,6770634,1541147,997933,614368,8436469,6090010,3488938,369560,0,64001,17766,8810334503,123,370682505,139134500,8118333,79,135066,65270
Batch Auto-Entry,Managed Pay & Batch Processing,Week,2024-09-14,2024-09-14,FY25,9,5121.218056,548.826526,null,null,0,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All Segments,Aggregate,Week,2024-09-21,2024-09-21,FY25,9,1709.848382,350.808268,1230.100863,398.9693966,727352,14.60055774,3.17095957,464200,1,1,1,1,1,1,1,1,1,1,1,1,13647264895,6129981861,5248004502,495600,11636544,6128553,1798935,7534603999,885761634.6,518735843.1,454962167.5,11318448857,9587026299,2442089644,6853373,1561764,989746,600319,8474480,6388789,3533748,365168,0,63507,17907,9055737076,121,368501027,136350729,8229509,83,141142,64358
100% Invoice TPV,Billing & Receipt Channel Mix,Week,2024-09-28,2024-09-28,FY25,9,1901.432538,345.360863,1333.960164,null,673026,13.20054409,0,407754,1,1,1,1,1,1,1,1,1,1,1,1,11393031854,4660209119,4877657184,435857,8191917,4016733,1367150,7188364599,0,423407721.5,364204023,10654888308,8495935784,1377188452,5894854,0,715912,454044,7068970,5486199,1379167,341397,0,61345,15781,7433667226,0,360441627,123876754,5573088,0,115815,47050
70% to <100% Invoice TPV,Billing & Receipt Channel Mix,Week,2024-09-28,2024-09-28,FY25,9,980.829535,316.224056,709.7284738,292.3525401,28317,49.83531912,9.523352471,17981,1,1,1,1,1,1,1,1,1,1,1,1,1098244434,622076569.1,343165691.9,19853,1638315,864549,211337,645475821.3,71629878.51,77442721.86,63849173.05,906357436.4,636230689.6,381269825.7,1014016,188361,227431,132210,1112453,730948,644205,16684,0,388,593,750519681,0,3700946,9077406,1110659,0,2822,7876
Other Mixed,Billing & Receipt Channel Mix,Week,2024-09-28,2024-09-28,FY25,9,1161.642807,364.548474,584.1073344,331.3813463,22138,15.58617738,61.70944859,14590,1,1,1,1,1,1,1,1,1,1,1,1,637771014,380485245.8,181779890.5,15981,1609325,877827,182570,124746861.8,444666089.1,23063581.25,20485728.87,161039498.3,156640508.2,484472750.1,234987,956126,70194,47057,244515,205381,1174346,13282,0,504,318,420033454,145,3476646,2762401,1116029,86,8123,4580
100% SR TPV,Billing & Receipt Channel Mix,Week,2024-09-28,2024-09-28,FY25,9,3387.600538,398.556414,null,602.0114879,0,null,23.51177329,17350,1,1,1,1,1,1,1,1,1,1,1,1,337445722.4,195579692.2,98669605.17,18007,549006,296007,57281,0,347201312.7,0,0,0,99523272.33,240948872.2,0,424008,0,0,0,52010,416075,14292,0,2452,788,220764201,0,9945488,4896600,362684,0,7862,2853
All Segments,Aggregate,Week,2024-09-28,2024-09-28,FY25,9,1753.214798,346.59576,1210.34192,402.6091731,729676,14.56857485,3.202258913,470491,1,1,1,1,1,1,1,1,1,1,1,1,13866564720,5955952874,5542350872,503534,11899189,6138269,1804971,7644447093,863657432.4,527580828.1,451030550.1,11885236724,9750495867,2585778246,7093624,1645295,1026366,613569,8230688,6298024,3594215,366398,0,64412,17791,8926720322,147,371663016,139601004,7936862,88,137953,62698
Other Mixed,Managed Pay & Batch Processing,Month,2024-09-30,2024-09-30,FY25,9,1642.069155,342.189252,1232.987159,405.1788583,719692,14.80587262,3.216221355,462976,1,1,1,1,1,1,1,1,1,1,1,1,13442434462,5978982016,5382823752,478243,12213892,5897696,1791165,7347088512,858730939.2,540812608.4,462407493.8,11511739028,9384293533,2430699930,7005779,1558938,1040374,631596,8456496,6252384,3607990,379192,0,66029,17085,8462659684,135,360111623,132321190,7956311,80,133415,61551
Batch Auto-Entry,Managed Pay & Batch Processing,Month,2024-09-30,2024-09-30,FY25,9,6304.025948,467.200958,null,null,0,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Mixed,Managed Pay & Batch Processing,Week,2024-10-05,2024-10-05,FY25,10,1464.485031,357.115761,1257.90698,390.9963325,704072,14.74161561,3.261717545,468996,1,1,1,1,1,1,1,1,1,1,1,1,14026434774,6332874491,5621887674,507423,12175695,6383914,1880817,8248299087,911876149.3,557229388.5,492818729.7,11920383901,9977408860,2643772062,7287646,1711490,1095898,667877,8703102,6387372,3849198,366278,0,68354,17950,9342105501,147,407127727,145634031,8534204,87,155785,66389
Batch Auto-Entry,Managed Pay & Batch Processing,Week,2024-10-05,2024-10-05,FY25,10,4848.295,417.500494,null,null,0,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Mixed,Managed Pay Subscribers,Week,2024-10-05,2024-10-05,FY25,10,1478.081222,352.34985,1234.281176,385.5257087,724120,15.08099645,3.277164005,455066,1,1,1,1,1,1,1,1,1,1,1,1,14230663814,6035844703,5669027058,512907,12458358,6273201,1915948,8061712696,908207238.7,570629598,502661971.4,12159214439,9807069806,2528814362,7463389,1679014,1062878,657531,8789967,6736162,3699685,384503,0,71018,18507,9093743986,149,400954376,147301763,8621951,84,151507,64612
Growing (12-24 months),New Acquisition Cohort,Week,2024-10-26,2024-10-26,FY25,10,1911.698652,383.3922,1341.938101,429.7427096,128559,12.48270155,2.002154807,84821,1,1,1,1,1,1,1,1,1,1,1,1,2165710048,926662225.3,860393266.7,86634,1753051,913505,235327,1228793321,105911784.2,68537585.19,63066867.15,1883307739,1618657839,316952056.3,1047517,183327,129087,86310,1323211,1008127,436730,70160,0,14138,0,1443011437,10,77358792,0,1205470,11,28801,0
Unclassified,New Acquisition Cohort,Week,2024-10-26,2024-10-26,FY25,10,2546.299837,464.197019,1923.445813,508.2021222,2042,10.4111403,3.752017405,1370,1,1,1,1,1,1,1,1,1,1,null,null,47815766.74,24057083.84,17208676.25,1475,34663,19170,3252,25742933.21,3962272.4,583024.09,375363.13,40487384.92,34021674.74,7926218.03,14731,5260,1207,585,18729,15780,7306,1049,0,0,0,29965056,0,0,0,22117,0,0,0
New (0-12 months),New Acquisition Cohort,Week,2024-10-26,2024-10-26,FY25,10,1661.400773,380.203245,1217.356846,421.1566006,170759,9.031577358,1.492000042,111458,1,1,1,1,1,1,1,1,1,1,1,1,1992535790,1052844105,631611083,119023,1754932,920107,207170,1086072351,105489362.1,54801803.2,47847724.32,1671386195,1421773649,307930292.4,1022216,192079,111723,73152,1276490,971166,431335,75864,0,16932,17005,1154675595,43,88293470,132773067,1121680,37,33094,65529
Established (24+ months),New Acquisition Cohort,Week,2024-10-26,2024-10-26,FY25,10,1793.254759,338.16187,1202.606507,388.43221,429425,18.09537739,4.35549977,271371,1,1,1,1,1,1,1,1,1,1,1,1,9604712817,4105288049,4096689324,293718,8986025,4380994,1476272,5564326350,680398964.2,444087388.2,373219088,8229685841,6747546275,1932009947,5044283,1306217,823855,503288,6167315,4498077,2880790,234588,0,34763,0,6670389071,24,220246541,0,5953042,28,75878,0
Other Mixed,Managed Pay Subscribers,Week,2024-10-26,2024-10-26,FY25,10,1740.145306,362.906277,1244.70667,391.098871,722784,14.90692239,3.168575094,467009,1,1,1,1,1,1,1,1,1,1,1,1,13643906780,5930738787,5631101768,502792,12115615,6283791,1843870,8111637826,894119533.2,569295762.7,495520197.4,11759557726,9702762424,2606870808,7170009,1623908,1049852,676215,8435139,6671557,3712729,391578,0,65890,16622,9207022184,76,390694581,134668579,8231572,75,139870,63064
MAIP 100%,Managed Pay Subscribers,Week,2024-10-26,2024-10-26,FY25,10,5270.235919,null,2318.9018,null,18,1.416342064,0,11,null,1,null,1,null,null,null,null,null,null,null,null,84184.11,0,61433.04,12,41,0,22,51911.93,0,0,0,79915.8,70842.61,0,15,0,0,0,21,18,0,1,0,5,5,9828,0,10525,50122,2,0,5,14
100% Mobile TPV,Digital Platform Distribution,Month,2024-10-31,2024-10-31,FY25,10,1368.06696,369.694045,987.417681,null,58669,7.019210186,0,36291,1,1,1,1,1,1,1,1,1,1,1,1,383374752.6,228727948,109787411.1,39157,374553,213987,39674,230258620,0,282,312,365029352,318569381.4,24169051.9,268424,0,1,1,365331,282507,28044,25627,0,7910,1709,231664761,0,28667147,8442066,251452,0,12324,3633
Cross-Platform Blended,Digital Platform Distribution,Month,2024-10-31,2024-10-31,FY25,10,1216.718258,311.118448,899.2552059,202.3386403,19546,15.86651347,0.2509432254,12419,1,1,1,1,1,1,1,1,1,1,1,1,290627524.4,163029602.6,92093481.46,13665,304221,173964,35554,175603993.9,937501.72,3751513.31,3498362.35,266126447.2,225018782.5,27798425.62,216442,2973,17671,12271,272508,206194,42288,10801,0,1056,259,184665628,0,7205152,2557771,214289,0,3565,1537
70% to <100% Mobile TPV,Digital Platform Distribution,Month,2024-10-31,2024-10-31,FY25,10,1068.815303,288.688534,773.3272153,219.554484,11928,19.75091467,0.5126012545,7308,1,1,1,1,1,1,1,1,1,1,1,1,186322979,103919443.7,56981995.13,7728,226240,134698,22566,115962648.5,1302550.98,713873.71,659705.61,178078386.7,146911072.6,21350792.18,162039,4327,3683,2630,206796,151581,36323,6580,0,486,205,123308906,0,4233390,1403628,161821,0,1846,1122
100% Web TPV,Digital Platform Distribution,Month,2024-10-31,2024-10-31,FY25,10,1991.047037,354.968299,1472.094189,null,569239,12.6959317,0,339668,1,1,1,1,1,1,1,1,1,1,1,1,10954692835,4142110889,4736035681,362089,7176239,3316223,1247907,6449142524,0,430753844.2,374318781.4,9656568860,8092159493,1366761120,4875214,0,655447,407190,5836866,4586025,1263885,269053,0,57274,13344,6783494968,0,369144040,112088008,4725724,0,112587,40723
70% to <100% Web TPV,Digital Platform Distribution,Month,2024-10-31,2024-10-31,FY25,10,1031.308987,293.875183,800.2874849,285.6429779,55202,40.34257754,4.839784363,36227,1,1,1,1,1,1,1,1,1,1,1,1,1863382320,968139686.4,634757597.5,37190,2449949,1278067,309432,1124916398,73873689.11,98833752,82840759.04,1601023541,1257841199,458749090.1,1510443,181538,305450,188583,1748046,1245192,784382,32191,0,1169,653,1252519191,0,12858906,8815361,1730561,0,5767,7348
Unclassified,Digital Platform Distribution,Month,2024-10-31,2024-10-31,FY25,10,1057.621252,371.82616,573.6763127,411.3773189,23599,16.35539657,40.49474785,33519,1,1,1,1,1,1,1,1,1,1,1,1,1061070087,609643694.2,290382390.5,34631,2281822,1229003,259246,139830378.3,810130074.6,26075902.62,23113725.21,186553350.1,294483131.4,771300070.8,263154,1429249,78513,51160,269616,275310,1622687,28084,0,3211,1160,691054721,69,15133288,9193845,1522368,68,16265,9308
Unclassified,Bank Transfer & Card Distribution,Week,2024-11-02,2024-11-02,FY25,11,2480.076004,396.571544,null,null,0,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bank & Card Blended,Bank Transfer & Card Distribution,Week,2024-11-02,2024-11-02,FY25,11,1591.332103,308.142461,1321.153492,506.4223184,77494,20.53135461,3.453060208,49863,1,1,1,1,1,1,1,1,1,1,1,1,2091436292,985821680.2,775582934.6,50686,1729307,745599,363338,1167631912,131645570.2,96950371.62,80960056.8,1760077195,1483941249,374723635.7,1011752,183735,165940,95527,1233454,931571,436863,43840,0,2386,639,1432243212,5,21554163,10806623,1139259,3,8256,4275
ACH between 70% to <100%,Bank Transfer & Card Distribution,Week,2024-11-02,2024-11-02,FY25,11,2711.340669,404.230229,2192.908394,688.1684369,67177,21.84118663,4.057936064,41671,1,1,1,1,1,1,1,1,1,1,1,1,3516729053,344039984,2264031505,44644,1615571,254245,708293,2026929503,168994815.4,123600092.9,104879489.1,2909760576,2666901649,398580953.1,985922,189528,170195,98590,1121793,898200,395112,39990,0,1975,490,2285069656,0,31948883,13612726,1117556,0,6752,3168
CC between 70% to <100%,Bank Transfer & Card Distribution,Week,2024-11-02,2024-11-02,FY25,11,799.1274044,246.793948,645.9615601,291.8385675,107914,38.07907367,6.46186512,68262,1,1,1,1,1,1,1,1,1,1,1,1,2987455691,2372194105,267199728.3,74380,4621576,2920440,264221,1670765703,200473162.7,138141382.6,113217851.1,2537925584,1849392915,813309062.7,2848524,487891,495386,314762,3404114,2521165,1353749,63603,0,1613,638,2025288688,0,16432613,11950222,3339923,0,11845,11837
CC 100%,Bank Transfer & Card Distribution,Week,2024-11-02,2024-11-02,FY25,11,1152.593619,255.193597,885.149089,288.8828165,324383,7.520769983,3.01249869,205790,1,1,1,1,1,1,1,1,1,1,1,1,2346984391,2203243395,0,223022,3133367,2110387,0,1272838757,265392062.3,40153028.68,28990674.98,1951880499,1406308539,765335289.7,1587750,689435,89409,51209,2072672,1287403,1350609,152249,0,43020,11420,1435489660,69,153659842,57645375,2042307,70,80670,35281
Non-MAIP & Mixed ACH 100%,Bank Transfer & Card Distribution,Week,2024-11-02,2024-11-02,FY25,11,4042.580086,430.615238,3262.811001,1066.206841,147732,6.085157528,0.7082240184,94816,1,1,1,1,1,1,1,1,1,1,1,1,3091032303,0,2308404105,100990,967304,0,543015,1792116800,105544808.4,140407434.3,134278635.9,2683560331,2490998348,170364758.5,608572,73373,105738,76435,696848,646688,137675,72268,0,16850,3710,1894806440,8,156599208,41356704,620391,5,26670,7901
MAIP 100%,Bank Transfer & Card Distribution,Week,2024-11-02,2024-11-02,FY25,11,4777.989434,2190.282,3586.538951,null,95,1.347550857,0,61,1,1,null,1,null,null,null,null,null,null,1,null,465616.87,0,351109.03,62,163,0,95,284331.17,0,2470,2850,464295.08,404530.74,0,93,0,3,2,124,110,0,7,0,45,15,87921,0,151852,118072,13,0,56,36
Other Mixed,Managed Pay & Batch Processing,Week,2024-11-09,2024-11-09,FY25,11,1656.166823,369.256578,1291.058818,387.5588654,717479,14.93912204,3.134432609,475553,1,1,1,1,1,1,1,1,1,1,1,1,14449638820,5940855923,5810182127,494920,12041481,6112035,1847176,7819850753,918053831.9,546785701.2,474177991.9,11734933474,9850135154,2542324633,7054767,1623700,1020658,667109,8484964,6467570,3677422,387064,0,64331,16682,9109044604,130,366729445,144200148,8253260,94,129511,60478
Batch Auto-Entry,Managed Pay & Batch Processing,Week,2024-11-09,2024-11-09,FY25,11,3454.017797,419.070954,3528.026145,464.379527,26,1.46246049,0.0422045095,17,1,1,null,1,null,null,null,null,1,null,1,null,129399.5,94060.02,25435.23,19,40,24,3,78401.71,719,0,0,122637.72,99571.04,14947.52,26,1,0,0,34,26,4,0,0,0,17,0,0,0,109772,0,0,0,24
MAIP 100%,Managed Pay & Batch Processing,Week,2024-11-09,2024-11-09,FY25,11,4064.156517,1469.26046,3230.985716,3797.747694,208,1.561519762,0.0070382868,137,1,1,null,1,null,null,null,null,1,null,1,null,1031355.57,0,767054.76,145,354,0,203,650804.72,5731.5,6409.76,7189.49,986247.93,885906.96,0,233,1,5,5,318,265,0,17,0,106,27,96529,8,486359,197453,31,8,131,53
